customer_id,customer_name,customer_type,city,signup_date,lead_source,maintenance_member
1,Customer 0001,Residential,Brentwood,2023-06-08,Google,0
2,Customer 0002,Residential,Nashville,2020-10-28,Home Services Marketplace,0
3,Customer 0003,Residential,Nashville,2024-10-22,Google,0
4,Customer 0004,Residential,Nashville,2021-10-30,Google,0
5,Customer 0005,Residential,Brentwood,2023-09-28,Referral,1
6,Customer 0006,Residential,Nashville,2020-09-20,Home Services Marketplace,0
7,Customer 0007,Residential,Brentwood,2024-02-08,Google,0
8,Customer 0008,Residential,Nolensville,2022-11-05,Google,0
9,Customer 0009,Residential,Nolensville,2024-09-25,Organic,1
10,Customer 0010,Commercial,Franklin,2022-11-08,Google,0
11,Customer 0011,Residential,Nashville,2022-12-13,Referral,0
12,Customer 0012,Residential,Brentwood,2023-09-13,Home Services Marketplace,0
13,Customer 0013,Residential,Spring Hill,2024-05-30,Referral,0
14,Customer 0014,Residential,Franklin,2024-01-24,Referral,0
15,Customer 0015,Residential,Nashville,2021-02-22,Organic,0
16,Customer 0016,Residential,Brentwood,2020-11-20,Google,1
17,Customer 0017,Residential,Franklin,2021-05-22,Organic,0
18,Customer 0018,Residential,Nashville,2020-09-01,Home Services Marketplace,1
19,Customer 0019,Residential,Nashville,2023-03-17,Referral,0
20,Customer 0020,Commercial,Nashville,2021-10-18,Home Services Marketplace,0
21,Customer 0021,Residential,Nashville,2022-10-04,Home Services Marketplace,0
22,Customer 0022,Residential,Brentwood,2024-03-12,Google,0
23,Customer 0023,Residential,Franklin,2021-09-12,Referral,0
24,Customer 0024,Residential,Brentwood,2024-03-14,Referral,0
25,Customer 0025,Residential,Nashville,2024-05-12,Google,0
26,Customer 0026,Residential,Nashville,2021-08-19,Google,1
27,Customer 0027,Commercial,Franklin,2022-01-04,Google,0
28,Customer 0028,Commercial,Franklin,2021-02-28,Organic,1
29,Customer 0029,Residential,Brentwood,2023-06-25,Organic,1
30,Customer 0030,Residential,Franklin,2024-02-03,Referral,0
31,Customer 0031,Residential,Spring Hill,2023-07-02,Direct Mail,0
32,Customer 0032,Residential,Nolensville,2024-05-19,Home Services Marketplace,0
33,Customer 0033,Residential,Nashville,2021-07-24,Google,0
