estimate_id,customer_id,service_id,estimate_date,quoted_revenue,estimate_status,won_date,lead_source
1,946,5,2024-12-31,237.16,Won,2025-01-01,Google
2,132,6,2024-12-24,1368.77,Won,2025-01-01,Referral
3,402,5,2024-12-21,150.99,Won,2025-01-01,Google
4,612,3,2024-12-22,9665.19,Open,,Google
5,1310,4,2024-12-22,2400.15,Open,,Organic
6,916,2,2024-12-28,624.36,Lost,,Direct Mail
7,1023,1,2025-01-01,579.46,Won,2025-01-01,Referral
8,1069,4,2024-12-20,2283.63,Won,2025-01-01,Organic
9,565,4,2024-12-23,2192.75,Won,2025-01-01,Referral
10,798,5,2024-12-28,200.58,Won,2025-01-01,Referral
11,1307,1,2024-12-24,746.27,Won,2025-01-01,Google
12,933,3,2024-12-26,10885.55,Open,,Google
13,1108,6,2024-12-23,956.81,Won,2025-01-01,Organic
14,327,4,2024-12-20,1778.12,Lost,,Home Services Marketplace
15,892,7,2024-12-23,1208.01,Won,2025-01-01,Organic
16,85,4,2024-12-31,2115.11,Open,,Referral
17,610,1,2025-01-01,393.36,Won,2025-01-01,Google
18,624,3,2025-01-01,21353.58,Lost,,Google
19,1057,1,2024-12-30,474.69,Open,,Referral
20,539,3,2024-12-30,8249.66,Won,2025-01-01,Referral
21,1440,1,2024-12-31,594.69,Won,2025-01-01,Home Services Marketplace
22,291,6,2024-12-27,1993.87,Lost,,Referral
23,917,1,2024-12-27,538.12,Won,2025-01-01,Google
24,1136,5,2024-12-23,329.74,Lost,,Organic
25,231,5,2025-01-01,137.55,Won,2025-01-01,Home Services Marketplace
26,1272,3,2024-12-27,15212.88,Open,,Referral
27,1158,4,2024-12-29,2698.3,Open,,Organic
28,759,3,2024-12-30,18485.98,Lost,,Google
29,12,3,2024-12-27,10080.71,Open,,Home Services Marketplace
30,511,4,2024-12-24,3386.44,Open,,Google
31,323,2,2024-12-26,525.19,Won,2025-01-01,Referral
32,1143,7,2024-12-26,1403.4,Won,2025-01-02,Organic
33,433,5,2024-12-23,203.48,Open,,Google
34,357,1,2024-12-31,395.88,Won,2025-01-02,Referral
35,1409,5,2024-12-31,185.19,Open,,Referral
36,1310,5,2024-12-22,171.85,Won,2025-01-02,Organic
37,55,4,2024-12-28,2410.25,Lost,,Direct Mail
38,758,5,2024-12-24,301.39,Won,2025-01-02,Referral
39,1279,4,2024-12-24,2592.38,Won,2025-01-02,Google
40,315,4,2025-01-01,1982.53,Open,,Google
41,812,5,2025-01-02,273.44,Won,2025-01-02,Home Services Marketplace
42,594,5,2024-12-27,231.19,Open,,Organic
43,1349,3,2024-12-21,10230.68,Lost,,Organic
44,1070,3,2025-01-02,10020.68,Won,2025-01-02,Organic
45,937,5,2024-12-24,313.32,Open,,Referral
46,47,1,2024-12-26,438.22,Won,2025-01-02,Direct Mail
47,522,4,2024-12-29,1717.38,Won,2025-01-02,Google
48,364,1,2024-12-27,547.54,Won,2025-01-02,Referral
49,835,1,2024-12-28,632.85,Won,2025-01-02,Google
50,480,5,2024-12-25,313.4,Won,2025-01-02,Direct Mail
51,909,4,2024-12-26,2520.33,Won,2025-01-02,Home Services Marketplace
52,1311,6,2024-12-27,1525.12,Won,2025-01-02,Organic
53,322,5,2024-12-25,227.27,Won,2025-01-02,Google
54,875,5,2024-12-25,173.67,Open,,Organic
55,338,5,2025-01-03,207.16,Won,2025-01-03,Home Services Marketplace
56,1233,1,2024-12-28,436.67,Won,2025-01-03,Google
57,1139,5,2025-01-02,163.61,Open,,Referral
58,374,1,2024-12-25,452.96,Won,2025-01-03,Google
59,52,3,2025-01-01,7932.64,Lost,,Google
60,169,2,2024-12-23,500.01,Won,2025-01-03,Google
61,444,1,2024-12-29,344.94,Won,2025-01-03,Referral
62,361,1,2024-12-29,910.59,Lost,,Organic
63,471,5,2024-12-23,224.86,Open,,Google
64,413,5,2024-12-24,185.91,Lost,,Google
65,1426,5,2024-12-22,174.23,Won,2025-01-03,Referral
66,794,5,2025-01-02,194.5,Won,2025-01-03,Google
67,187,1,2024-12-23,503.27,Won,2025-01-03,Referral
68,1416,4,2024-12-30,3459.24,Won,2025-01-03,Referral
69,1382,5,2024-12-23,201.89,Lost,,Home Services Marketplace
70,1359,5,2024-12-27,169.57,Won,2025-01-03,Google
71,376,5,2024-12-30,146.72,Won,2025-01-03,Google
72,398,1,2024-12-25,557.81,Won,2025-01-03,Direct Mail
73,1109,1,2024-12-29,350.26,Open,,Referral
74,1117,3,2025-01-02,8662.33,Won,2025-01-03,Google
75,671,3,2025-01-03,10757.04,Won,2025-01-03,Home Services Marketplace
76,1276,6,2024-12-30,1073.83,Won,2025-01-03,Google
77,440,6,2024-12-22,1160.0,Lost,,Google
78,168,2,2024-12-27,463.33,Won,2025-01-03,Referral
79,175,5,2024-12-28,213.51,Won,2025-01-03,Organic
80,227,3,2024-12-30,8113.31,Won,2025-01-03,Home Services Marketplace
81,647,1,2024-12-28,354.55,Open,,Home Services Marketplace
82,198,1,2024-12-30,535.37,Won,2025-01-03,Direct Mail
83,1447,6,2024-12-31,2099.03,Won,2025-01-03,Google
84,1401,2,2024-12-27,526.07,Won,2025-01-03,Direct Mail
85,226,5,2025-01-03,198.67,Won,2025-01-03,Google
86,273,7,2024-12-31,1229.24,Won,2025-01-03,Direct Mail
87,1141,5,2024-12-26,197.58,Won,2025-01-03,Google
88,1303,1,2025-01-03,543.36,Won,2025-01-03,Direct Mail
89,1068,6,2024-12-24,1259.68,Open,,Google
90,536,7,2024-12-27,1481.33,Won,2025-01-03,Referral
91,1289,2,2024-12-25,558.77,Won,2025-01-03,Google
92,619,6,2024-12-30,1764.21,Won,2025-01-04,Organic
93,656,5,2024-12-30,160.67,Won,2025-01-04,Referral
94,219,2,2025-01-04,440.91,Won,2025-01-04,Google
95,1083,1,2024-12-24,643.54,Won,2025-01-04,Organic
96,1414,1,2024-12-26,455.0,Won,2025-01-04,Organic
97,277,5,2024-12-31,404.85,Open,,Google
98,1447,3,2025-01-02,12785.45,Lost,,Google
99,490,5,2024-12-29,153.39,Won,2025-01-04,Referral
100,587,4,2024-12-24,2224.78,Won,2025-01-04,Direct Mail
101,52,1,2024-12-25,641.06,Won,2025-01-04,Google
102,208,2,2024-12-25,439.85,Won,2025-01-04,Referral
103,1121,5,2024-12-25,219.02,Won,2025-01-04,Google
104,78,1,2025-01-03,747.9,Won,2025-01-04,Google
105,781,4,2024-12-29,2545.17,Lost,,Referral
106,24,5,2024-12-23,161.28,Lost,,Referral
107,208,2,2025-01-04,514.31,Won,2025-01-04,Referral
108,634,3,2025-01-01,12295.2,Won,2025-01-04,Google
109,691,5,2025-01-03,256.97,Won,2025-01-04,Home Services Marketplace
110,1444,2,2024-12-25,593.61,Won,2025-01-04,Referral
111,1063,5,2024-12-23,141.15,Won,2025-01-04,Home Services Marketplace
112,1367,1,2024-12-27,475.64,Lost,,Organic
113,766,1,2025-01-01,452.93,Won,2025-01-04,Referral
114,287,1,2025-01-02,952.37,Won,2025-01-05,Direct Mail
115,1198,6,2025-01-02,1254.43,Lost,,Referral
116,423,7,2024-12-25,2537.62,Won,2025-01-05,Organic
117,594,5,2025-01-01,227.84,Won,2025-01-05,Organic
118,1220,5,2024-12-31,176.12,Won,2025-01-05,Google
119,126,1,2024-12-27,618.75,Won,2025-01-05,Home Services Marketplace
120,974,5,2024-12-28,210.12,Won,2025-01-05,Home Services Marketplace
121,1200,1,2024-12-30,417.93,Won,2025-01-05,Google
122,1437,5,2024-12-31,179.99,Won,2025-01-05,Home Services Marketplace
123,1436,6,2025-01-03,1280.48,Won,2025-01-05,Google
124,1109,4,2025-01-04,2422.23,Lost,,Referral
125,1315,6,2024-12-29,1401.16,Won,2025-01-05,Google
126,762,5,2024-12-24,199.57,Won,2025-01-05,Google
127,1142,1,2024-12-27,611.76,Won,2025-01-05,Google
128,1004,3,2024-12-28,9161.14,Lost,,Referral
129,1093,5,2024-12-29,514.84,Won,2025-01-05,Organic
130,89,6,2025-01-05,1099.28,Won,2025-01-05,Home Services Marketplace
131,1347,1,2024-12-30,439.92,Open,,Referral
132,1068,5,2025-01-03,219.29,Won,2025-01-05,Google
133,1101,5,2024-12-25,293.64,Won,2025-01-05,Home Services Marketplace
134,338,5,2024-12-28,170.48,Won,2025-01-06,Home Services Marketplace
135,1292,1,2025-01-05,378.59,Won,2025-01-06,Home Services Marketplace
136,399,5,2024-12-25,156.98,Won,2025-01-06,Organic
137,181,1,2024-12-31,505.56,Lost,,Organic
138,550,2,2024-12-29,582.81,Open,,Referral
139,571,7,2024-12-31,932.05,Won,2025-01-06,Referral
140,774,1,2025-01-04,413.22,Won,2025-01-06,Referral
141,1070,5,2024-12-29,155.79,Won,2025-01-06,Organic
142,17,1,2025-01-05,497.53,Lost,,Organic
143,1154,3,2024-12-31,8502.08,Won,2025-01-06,Organic
144,18,6,2025-01-04,1071.26,Won,2025-01-06,Home Services Marketplace
