job_id,estimate_id,customer_id,service_id,technician_id,completed_date,city,customer_type,maintenance_member,emergency_flag,billed_revenue,estimated_labor_hours,actual_labor_hours,labor_cost,material_cost,first_time_fix_flag,callback_flag,agreement_sold_flag,travel_minutes,response_minutes,customer_rating
1,1,946,5,7,2025-01-01,Brentwood,Residential,1,0,237.39,1.65,1.93,67.43,38.89,1,0,0,47,317,4.6
2,2,132,6,2,2025-01-01,Nashville,Residential,0,0,1324.26,3.77,4.11,143.92,534.57,1,0,0,45,235,4.8
3,3,402,5,8,2025-01-01,Franklin,Residential,0,0,150.23,1.36,1.19,32.13,25.91,1,0,1,61,223,4.2
4,7,1023,1,3,2025-01-01,Franklin,Residential,0,0,581.68,1.84,1.46,42.26,101.06,1,0,1,15,229,4.6
5,8,1069,4,5,2025-01-01,Spring Hill,Residential,1,0,2310.0,10.54,11.07,398.46,736.2,1,0,0,53,164,4.8
6,9,565,4,5,2025-01-01,Franklin,Residential,0,0,2217.52,8.71,7.87,283.41,613.32,1,0,0,28,208,4.5
7,10,798,5,3,2025-01-01,Nashville,Residential,1,0,214.6,1.38,0.94,27.28,29.57,1,0,0,49,289,4.1
8,11,1307,1,2,2025-01-01,Nashville,Commercial,0,0,740.15,1.69,1.3,45.36,112.7,1,0,0,55,305,4.9
9,13,1108,6,5,2025-01-01,Franklin,Residential,0,0,1007.59,3.81,2.63,94.76,345.74,1,0,0,45,234,5.0
10,15,892,7,3,2025-01-01,Nashville,Residential,0,0,1181.44,4.19,4.02,116.72,255.16,1,0,0,52,231,4.5
11,17,610,1,2,2025-01-01,Franklin,Residential,0,0,398.06,1.78,1.73,60.72,83.1,1,0,0,13,241,5.0
12,20,539,3,5,2025-01-01,Franklin,Residential,1,0,8039.0,15.01,11.02,396.72,4230.8,0,1,0,46,253,4.5
13,21,1440,1,6,2025-01-01,Spring Hill,Residential,0,0,598.75,2.12,2.56,79.25,135.94,0,0,0,39,237,4.8
14,23,917,1,4,2025-01-01,Franklin,Residential,1,1,444.57,2.51,2.74,76.67,131.01,1,0,0,55,20,4.3
15,25,231,5,8,2025-01-01,Brentwood,Residential,1,0,125.93,1.27,1.1,29.61,21.51,1,0,0,43,233,4.6
