membership_id,customer_id,start_date,annual_value,renewed_flag,status
1,5,2023-10-26,279,1,Active
2,9,2024-09-25,189,1,Active
3,16,2024-09-02,189,1,Active
4,18,2023-10-18,279,1,Active
5,26,2024-11-20,279,0,Expired
6,28,2024-08-17,279,1,Active
7,29,2024-05-21,229,0,Expired
8,36,2023-11-05,189,1,Active
9,37,2024-07-14,279,0,Expired
10,39,2023-11-24,189,1,Active
11,48,2024-08-02,279,1,Active
12,50,2024-09-03,279,1,Active
13,51,2024-02-23,229,1,Active
14,52,2023-12-18,229,1,Active
15,59,2024-01-16,279,1,Active
16,60,2023-11-18,189,1,Active
17,68,2023-12-31,229,1,Active
18,69,2024-07-27,279,0,Expired
19,71,2024-11-26,189,1,Active
20,74,2024-05-16,229,1,Active
21,75,2024-09-13,279,1,Active
22,76,2023-12-11,229,1,Active
23,77,2024-10-17,229,1,Active
24,84,2024-10-02,279,0,Expired
25,85,2024-05-26,279,1,Active
26,86,2024-01-30,189,1,Active
27,89,2023-09-16,189,1,Active
28,91,2024-10-04,189,0,Expired
29,95,2024-06-10,279,1,Active
30,98,2024-05-03,189,1,Active
31,99,2024-08-22,189,1,Active
32,103,2024-08-27,279,1,Active
33,108,2024-04-07,229,1,Active
34,109,2024-07-21,189,1,Active
35,112,2024-03-20,279,1,Active
36,113,2024-11-02,189,0,Expired
37,115,2023-11-20,229,0,Expired
38,123,2024-03-28,189,1,Active
39,125,2024-03-19,279,1,Active
40,128,2024-01-28,279,1,Active
41,129,2024-03-30,189,1,Active
42,131,2024-12-10,189,1,Active
43,136,2024-11-11,279,1,Active
44,140,2023-12-02,189,1,Active
45,146,2024-01-31,279,1,Active
46,150,2024-01-23,189,1,Active
47,153,2024-03-01,279,1,Active
48,155,2023-10-08,279,1,Active
49,157,2024-01-15,229,1,Active
50,161,2023-09-16,189,0,Expired
51,163,2024-10-23,189,1,Active
52,164,2024-08-22,279,1,Active
53,171,2023-09-21,189,1,Active
54,173,2023-10-14,229,0,Expired
55,175,2024-05-23,189,1,Active
56,176,2024-10-14,229,0,Expired
57,188,2024-03-02,229,1,Active
58,190,2024-02-23,229,1,Active
59,192,2024-03-06,189,1,Active
60,193,2024-06-10,189,1,Active
61,195,2023-10-20,229,1,Active
62,196,2024-08-01,189,1,Active
63,199,2024-10-01,189,1,Active
64,204,2024-10-06,279,1,Active
65,205,2024-01-02,229,1,Active
66,206,2024-11-16,229,1,Active
67,207,2024-04-14,279,1,Active
68,209,2023-12-24,189,1,Active
69,213,2024-09-18,189,1,Active
70,217,2024-06-25,189,1,Active
71,218,2024-01-30,229,1,Active
72,221,2023-12-21,189,1,Active
73,225,2024-04-03,229,1,Active
74,227,2024-07-16,229,0,Expired
75,230,2023-12-04,229,1,Active
76,231,2024-07-04,229,1,Active
77,239,2024-07-14,279,1,Active
78,240,2023-10-25,189,1,Active
79,243,2023-09-17,279,0,Expired
80,254,2023-12-21,279,1,Active
81,255,2023-11-03,189,1,Active
82,258,2024-05-01,279,1,Active
83,259,2023-09-17,189,1,Active
84,261,2024-10-23,229,1,Active
85,264,2023-11-14,189,1,Active
86,266,2024-07-07,229,1,Active
87,267,2023-11-17,189,1,Active
88,268,2023-10-08,279,1,Active
89,269,2024-02-13,229,1,Active
90,270,2023-11-25,189,1,Active
91,271,2024-02-11,229,0,Expired
92,272,2024-05-01,229,1,Active
93,273,2023-10-18,229,1,Active
94,281,2024-05-11,189,1,Active
95,282,2023-09-13,229,0,Expired
96,283,2024-09-01,189,0,Expired
97,284,2024-06-18,279,1,Active
98,287,2024-08-20,279,1,Active
99,290,2024-05-24,189,1,Active
100,292,2024-06-02,189,0,Expired
101,294,2024-11-26,189,1,Active
102,302,2023-11-15,229,1,Active
103,309,2024-10-26,279,1,Active
104,310,2024-10-21,229,1,Active
105,313,2024-11-24,189,1,Active
106,319,2024-05-25,229,0,Expired
107,330,2024-05-03,279,1,Active
108,332,2023-08-27,229,1,Active
109,335,2024-11-29,189,1,Active
110,337,2023-08-26,229,1,Active
111,339,2024-07-24,229,1,Active
112,341,2024-11-08,229,1,Active
113,348,2023-10-13,189,1,Active
114,350,2024-05-15,189,1,Active
115,352,2024-11-11,229,1,Active
116,362,2024-05-14,189,1,Active
117,363,2024-04-24,189,1,Active
118,364,2024-09-24,189,1,Active
119,372,2024-09-27,279,1,Active
120,375,2024-03-06,279,1,Active
121,376,2024-10-19,279,0,Expired
122,389,2024-01-13,229,1,Active
123,392,2024-07-19,189,1,Active
124,395,2024-01-18,279,1,Active
125,398,2024-02-06,189,1,Active
126,401,2024-11-27,189,1,Active
127,404,2024-02-06,189,1,Active
128,407,2024-02-03,189,1,Active
129,409,2024-09-09,189,1,Active
130,413,2023-10-17,279,1,Active
131,415,2024-08-03,279,1,Active
132,416,2024-11-18,189,1,Active
133,417,2024-05-30,189,1,Active
134,419,2024-11-21,279,1,Active
135,422,2024-07-21,229,1,Active
136,423,2024-09-13,279,1,Active
137,424,2024-08-22,229,0,Expired
138,427,2023-11-11,229,1,Active
139,429,2024-02-15,229,1,Active
140,435,2023-12-12,279,1,Active
141,436,2024-05-29,189,1,Active
142,437,2024-06-14,189,1,Active
143,442,2024-02-12,279,0,Expired
144,444,2023-10-07,189,1,Active
145,445,2024-05-16,189,0,Expired
146,449,2024-11-07,279,1,Active
147,451,2024-01-30,279,1,Active
148,454,2024-04-26,189,1,Active
149,455,2024-09-25,229,1,Active
150,456,2024-06-07,229,1,Active
151,462,2024-07-04,279,1,Active
152,464,2024-06-21,229,1,Active
153,469,2024-11-18,229,0,Expired
154,473,2024-01-15,279,1,Active
155,474,2024-09-23,189,1,Active
156,475,2024-06-22,229,1,Active
157,476,2024-02-16,279,0,Expired
158,482,2024-01-28,229,1,Active
159,485,2023-12-13,229,1,Active
160,488,2024-06-17,189,0,Expired
161,510,2024-03-14,189,1,Active
162,511,2024-09-30,279,1,Active
163,513,2024-11-29,279,1,Active
164,514,2024-02-19,189,0,Expired
165,516,2023-12-01,279,1,Active
166,519,2024-02-02,229,1,Active
167,523,2024-06-07,279,1,Active
168,525,2024-06-06,279,1,Active
169,535,2024-08-16,229,1,Active
170,536,2023-09-06,229,1,Active
171,538,2023-11-08,229,0,Expired
172,539,2024-05-13,229,1,Active
173,545,2024-09-13,189,1,Active
174,548,2024-02-01,279,1,Active
175,552,2024-05-27,189,1,Active
176,553,2024-09-30,229,0,Expired
177,555,2024-01-22,229,1,Active
178,556,2024-11-06,229,1,Active
179,557,2023-12-10,229,1,Active
180,561,2024-05-22,189,1,Active
181,562,2024-08-04,229,1,Active
182,568,2024-10-11,229,1,Active
183,583,2023-09-29,189,1,Active
184,587,2024-06-27,279,1,Active
185,589,2024-06-14,189,1,Active
186,590,2024-04-17,189,1,Active
187,593,2024-07-04,229,1,Active
188,595,2023-09-17,279,0,Expired
189,596,2024-09-15,229,1,Active
190,608,2024-02-11,229,1,Active
191,615,2024-11-24,189,1,Active
192,619,2024-08-24,229,1,Active
193,620,2024-12-09,189,0,Expired
194,628,2024-05-29,279,1,Active
195,633,2024-05-30,189,1,Active
196,635,2024-10-27,229,1,Active
197,636,2024-08-23,279,1,Active
198,643,2024-11-30,189,0,Expired
199,644,2024-04-21,189,1,Active
200,647,2024-11-06,279,1,Active
201,650,2024-01-12,189,1,Active
202,654,2024-08-16,229,1,Active
203,658,2023-10-15,189,1,Active
204,661,2024-06-24,229,1,Active
205,663,2024-11-05,229,0,Expired
206,664,2024-03-08,229,1,Active
207,669,2024-10-20,189,1,Active
208,671,2024-05-25,189,1,Active
209,679,2024-09-02,229,0,Expired
210,681,2024-07-01,189,0,Expired
211,682,2024-08-17,189,0,Expired
212,683,2024-02-04,229,1,Active
213,691,2024-06-28,229,1,Active
214,693,2024-02-16,229,0,Expired
215,700,2024-11-04,279,1,Active
216,701,2024-05-24,229,1,Active
217,703,2024-06-19,279,1,Active
218,705,2024-12-06,189,0,Expired
219,716,2024-10-14,279,1,Active
220,718,2023-12-02,229,1,Active
221,723,2023-12-13,229,1,Active
222,725,2024-02-08,189,1,Active
223,726,2024-06-22,279,1,Active
224,727,2024-04-11,189,1,Active
225,728,2024-02-13,279,0,Expired
226,732,2024-10-23,279,1,Active
227,733,2024-03-09,279,1,Active
228,735,2024-02-12,279,1,Active
229,737,2024-05-13,229,1,Active
230,738,2023-11-18,229,1,Active
231,741,2023-09-26,279,1,Active
232,742,2024-05-09,279,0,Expired
233,744,2024-08-15,229,1,Active
234,751,2024-06-16,229,1,Active
235,753,2023-09-06,189,1,Active
236,756,2024-02-23,189,1,Active
237,759,2024-08-25,229,1,Active
238,762,2023-12-03,279,1,Active
239,763,2024-03-30,229,0,Expired
240,764,2024-01-16,279,1,Active
241,766,2024-02-20,229,1,Active
242,767,2024-05-14,279,1,Active
243,768,2024-11-29,229,1,Active
244,769,2024-04-21,229,1,Active
245,771,2024-11-07,189,1,Active
246,775,2024-07-31,279,1,Active
247,778,2024-07-22,229,1,Active
248,781,2023-09-26,229,1,Active
249,791,2023-10-19,279,1,Active
250,794,2024-10-18,279,1,Active
251,795,2024-07-20,189,0,Expired
252,797,2023-09-21,189,1,Active
253,798,2023-10-17,279,1,Active
254,805,2024-10-12,279,1,Active
255,806,2024-08-29,189,0,Expired
256,808,2024-11-19,279,1,Active
257,811,2024-06-01,229,1,Active
258,812,2024-03-27,189,1,Active
259,815,2024-08-13,189,0,Expired
260,820,2023-09-24,189,1,Active
261,821,2023-12-15,279,1,Active
262,823,2024-07-25,279,1,Active
263,826,2024-06-15,189,1,Active
264,828,2023-10-27,279,1,Active
265,830,2024-09-25,189,1,Active
266,841,2024-02-17,229,1,Active
267,845,2024-07-07,229,1,Active
268,849,2024-11-12,189,1,Active
269,851,2023-09-15,279,1,Active
270,852,2024-11-27,229,1,Active
271,855,2024-08-02,189,1,Active
272,865,2023-12-04,229,1,Active
273,869,2024-10-24,229,1,Active
274,870,2024-08-26,279,1,Active
275,872,2023-09-19,279,1,Active
276,885,2024-01-03,189,1,Active
277,888,2024-07-23,189,1,Active
278,889,2024-08-28,229,1,Active
279,893,2023-11-30,189,1,Active
280,894,2024-01-19,279,1,Active
281,897,2024-09-12,189,1,Active
282,898,2023-11-29,279,1,Active
283,899,2023-09-22,229,1,Active
284,902,2024-01-04,189,1,Active
285,903,2024-11-09,189,1,Active
286,908,2024-08-02,279,1,Active
287,909,2024-08-31,189,1,Active
288,910,2024-02-12,189,1,Active
289,917,2024-07-27,279,1,Active
290,918,2024-12-02,189,1,Active
291,919,2024-04-30,279,1,Active
292,921,2024-11-08,189,1,Active
293,925,2024-04-29,189,1,Active
294,926,2024-03-13,229,1,Active
295,927,2024-12-03,189,1,Active
296,931,2024-08-16,229,0,Expired
297,936,2024-03-24,279,1,Active
298,938,2024-10-27,279,1,Active
299,940,2024-09-20,279,0,Expired
300,941,2024-09-17,279,1,Active
301,943,2024-11-28,279,1,Active
302,946,2024-03-30,229,1,Active
303,952,2023-10-10,229,1,Active
304,953,2023-09-18,189,0,Expired
305,954,2024-06-17,229,1,Active
306,963,2023-12-15,229,1,Active
